Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2019-2020,137,2019-12-01,Arsenal,Norwich,False,2,2,D,1,1.8484207226271652
2019-2020,137,2019-12-01,Norwich,Arsenal,True,2,2,D,1,0.9321263421898267
2019-2020,138,2019-12-01,Sheffield United,Wolves,False,1,1,D,1,0.9522673031026253
2019-2020,138,2019-12-01,Wolves,Sheffield United,True,1,1,D,1,1.775656324582339
2019-2020,139,2019-12-01,Everton,Leicester,False,1,2,H,0,0.773768893222818
2019-2020,139,2019-12-01,Leicester,Everton,True,2,1,H,3,1.9907362262311066
2019-2020,140,2019-12-01,Aston Villa,Man United,False,2,2,D,1,0.6170212765957446
2019-2020,140,2019-12-01,Man United,Aston Villa,True,2,2,D,1,2.172288531395952
2019-2020,141,2019-12-03,Bournemouth,Crystal Palace,False,0,1,H,0,1.152258566978193
2019-2020,141,2019-12-03,Crystal Palace,Bournemouth,True,1,0,H,3,1.569314641744548
2019-2020,142,2019-12-03,Man City,Burnley,False,4,1,A,3,2.469886822958771
2019-2020,142,2019-12-03,Burnley,Man City,True,1,4,A,0,0.39450282942603077
2019-2020,143,2019-12-04,Aston Villa,Chelsea,False,1,2,H,0,0.4491372650012877
2019-2020,143,2019-12-04,Chelsea,Aston Villa,True,2,1,H,3,2.386041720319341
2019-2020,144,2019-12-04,Watford,Leicester,False,0,2,H,0,0.5259462513114357
2019-2020,144,2019-12-04,Leicester,Watford,True,2,0,H,3,2.3023161972399317
2019-2020,145,2019-12-04,Tottenham,Man United,False,1,2,H,0,1.4006791171477084
2019-2020,145,2019-12-04,Man United,Tottenham,True,2,1,H,3,1.3191850594227505
2019-2020,146,2019-12-04,Norwich,Southampton,False,1,2,H,0,0.90163085684701
2019-2020,146,2019-12-04,Southampton,Norwich,True,2,1,H,3,1.864612995081543
2019-2020,147,2019-12-04,West Ham,Wolves,False,0,2,H,0,0.8570876786404018
2019-2020,147,2019-12-04,Wolves,West Ham,True,2,0,H,3,1.8860563924295095
2019-2020,148,2019-12-04,Everton,Liverpool,False,2,5,H,0,0.5251396648044693
2019-2020,148,2019-12-04,Liverpool,Everton,True,5,2,H,3,2.284916201117318
2019-2020,149,2019-12-05,Newcastle,Sheffield United,False,2,0,A,3,0.89445178335535
2019-2020,149,2019-12-05,Sheffield United,Newcastle,True,0,2,A,0,1.8275429326287975
2019-2020,150,2019-12-05,Brighton,Arsenal,False,2,1,A,3,0.7396358040261821
2019-2020,150,2019-12-05,Arsenal,Brighton,True,1,2,A,0,2.040353545776738
2019-2020,151,2019-12-07,Chelsea,Everton,False,1,3,H,0,1.678733031674208
2019-2020,151,2019-12-07,Everton,Chelsea,True,3,1,H,3,1.0678733031674208
2019-2020,152,2019-12-07,Liverpool,Bournemouth,False,3,0,A,3,2.227272727272727
2019-2020,152,2019-12-07,Bournemouth,Liverpool,True,0,3,A,0,0.5909090909090908
2019-2020,153,2019-12-07,Burnley,Tottenham,False,0,5,H,0,0.5577439570277529
2019-2020,153,2019-12-07,Tottenham,Burnley,True,5,0,H,3,2.241718889883617
2019-2020,154,2019-12-07,Crystal Palace,Watford,False,0,0,D,1,1.213087644696433
2019-2020,154,2019-12-07,Watford,Crystal Palace,True,0,0,D,1,1.4976376092605719
2019-2020,155,2019-12-07,Man United,Man City,False,2,1,A,3,0.458416500332668
