player_name,team_id,season,beta_unavailable,se_unavailable,n_matches,n_unavail,n_avail,xpts_per_match_present,xpts_season_total,gbp_per_point,value_gbp_per_match,value_gbp_season_total
Alexandre Lacazette,Arsenal,2019,0.024513354384093244,0.2954699336063065,38,14,24,-0.024513354384093244,-0.9315074665955433,2498950.381679389,-61257.65629437194,-2327790.939186134
Alexandre Lacazette,Arsenal,2020,-0.14056779645680817,0.2750867888553996,34,20,14,0.14056779645680817,4.779305079531477,2397918.6376537364,337070.1389776972,11460384.725241702
Alexandre Lacazette,Arsenal,2021,-0.2828539464581391,0.4195705570097376,32,2,30,0.2828539464581391,9.051326286660451,2494866.920152091,705682.9542528819,22581854.53609222
Alexis Mac Allister,Brighton,2020,0.07397828007370796,0.26296012643239564,38,24,14,-0.07397828007370796,-2.8111746428009026,2397918.6376537364,-177393.89657031235,-6740968.069671869
Alexis Mac Allister,Liverpool,2023,-0.29937240252187736,0.4986797052236721,38,19,19,0.29937240252187736,11.37615129583134,2692249.527410207,805985.2092091825,30627437.949948937
Alfie Devine,Tottenham,2022,-0.08349073709585761,0.24684383286301845,38,7,31,0.08349073709585761,3.172648009642589,2490503.323836657,207933.95824680588,7901490.413378623
Alfie Mawson,Fulham,2020,0.04635783786843321,0.16484711419607137,38,11,27,-0.04635783786843321,-1.761597839000462,2397918.6376537364,-111162.32342604616,-4224168.290189754
Alfie Whiteman,Tottenham,2022,0.002821984478134573,0.23201215743611664,38,15,23,-0.002821984478134573,-0.10723541016911378,2490503.323836657,-7028.161722609609,-267070.14545916516
Alfie Whiteman,Tottenham,2024,0.05523512823865784,0.573879357522685,34,11,23,-0.05523512823865784,-1.8779943601143665,2706399.23591213,-149488.3088606121,-5082602.501260811
Alireza Jahanbakhsh,Brighton,2019,-0.05391265147740239,0.38990879423653907,38,8,30,0.05391265147740239,2.0486807561412905,2498950.381679389,134725.04098680257,5119551.557498498
Alireza Jahanbakhsh,Brighton,2020,0.06001236103900491,0.2772471951093324,36,11,25,-0.06001236103900491,-2.1604449974041766,2397918.6376537364,-143904.75902503481,-5180571.324901253
Alisson,Liverpool,2019,-0.21217460570831492,0.11782242724434104,38,17,21,0.21217460570831492,8.062635016915968,2498950.381679389,530213.8119174675,20148124.852863766
Alisson,Liverpool,2020,-0.14235829183903334,0.13936710685821135,37,24,13,0.14235829183903334,5.267256798044234,2397918.6376537364,341363.60122536786,12630453.245338611
Alisson,Liverpool,2021,0.02901961034172762,0.5231075288717615,31,17,14,-0.02901961034172762,-0.8996079205935562,2494866.920152091,-72400.06587727976,-2244402.042195672
Alisson,Liverpool,2022,0.23640439463424734,0.46644859034195224,29,6,23,-0.23640439463424734,-6.855727444393173,2490503.323836657,-588765.9306061858,-17074211.987579387
Alisson,Liverpool,2023,0.6077801869809903,0.8050632603840372,25,19,6,-0.6077801869809903,-15.194504674524758,2692249.527410207,-1636295.9211688584,-40907398.02922146
Allan,Everton,2020,0.06906574173038524,0.2583905908111012,38,12,26,-0.06906574173038524,-2.6244981857546392,2397918.6376537364,-165614.0293186702,-6293333.114109468
Allan Campbell,Luton,2023,-0.1975042227077811,0.20046628934202365,38,7,31,0.1975042227077811,7.505160462895682,2692249.527410207,531730.6502465439,20205764.70936867
Allan Saint-Maximin,Newcastle,2021,0.042143869619392704,0.2855758709504244,38,18,20,-0.042143869619392704,-1.6014670455369227,2494866.920152091,-105143.34620062554,-3995447.155623771
Allan Saint-Maximin,Newcastle,2022,0.12177954888938942,0.28364198683127956,33,18,15,-0.12177954888938942,-4.018725113349851,2490503.323836657,-303292.3712843531,-10008648.252383651
Alphonse Areola,West Ham,2023,0.09715238981593868,0.2998576800823451,38,3,35,-0.09715238981593868,-3.69179081300567,2692249.527410207,-261558.47556873312,-9939222.071611859
