player_id,player_name,team_id,season,n_matches,n_starts,start_rate_all,n_hard,n_hard_starts,start_rate_hard,n_easy,n_easy_starts,start_rate_easy,rotation_elasticity
10564,Leny Yoro,Man United,2024,21.0,12.0,0.5714285714285714,10.0,5.0,0.5,6.0,5.0,0.8333333333333334,-0.33333333333333337
10586,Tyler Dibling,Southampton,2024,33.0,20.0,0.6060606060606061,10.0,8.0,0.8,12.0,6.0,0.5,0.30000000000000004
10620,Luca Koleosho,Burnley,2023,15.0,13.0,0.8666666666666667,3.0,3.0,1.0,7.0,7.0,1.0,0.0
10696,Noussair Mazraoui,Man United,2024,37.0,34.0,0.918918918918919,12.0,12.0,1.0,13.0,10.0,0.7692307692307693,0.23076923076923073
10697,Ryan Gravenberch,Liverpool,2023,27.0,12.0,0.4444444444444444,8.0,1.0,0.125,10.0,7.0,0.7,-0.575
10697,Ryan Gravenberch,Liverpool,2024,37.0,37.0,1.0,12.0,12.0,1.0,13.0,13.0,1.0,0.0
10698,Malcolm Ebiowei,Crystal Palace,2022,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10700,Matt Turner,Nott'm Forest,2023,17.0,17.0,1.0,8.0,8.0,1.0,5.0,5.0,1.0,0.0
10715,João Palhinha,Fulham,2022,35.0,35.0,1.0,12.0,12.0,1.0,13.0,13.0,1.0,0.0
10715,João Palhinha,Fulham,2023,33.0,31.0,0.9393939393939394,11.0,11.0,1.0,12.0,12.0,1.0,0.0
10716,Manor Solomon,Fulham,2022,19.0,4.0,0.21052631578947367,8.0,2.0,0.25,8.0,1.0,0.125,0.125
10716,Manor Solomon,Tottenham,2023,5.0,2.0,0.4,3.0,0.0,0.0,1.0,1.0,1.0,-1.0
10717,Rodrigo Muniz,Fulham,2023,26.0,18.0,0.6923076923076923,7.0,3.0,0.42857142857142855,9.0,6.0,0.6666666666666666,-0.23809523809523808
10717,Rodrigo Muniz,Fulham,2024,31.0,8.0,0.25806451612903225,10.0,2.0,0.2,11.0,3.0,0.2727272727272727,-0.0727272727272727
10718,Jay Stansfield,Fulham,2022,3.0,1.0,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
10720,Darwin Núñez,Liverpool,2022,29.0,19.0,0.6551724137931034,12.0,6.0,0.5,10.0,7.0,0.7,-0.19999999999999996
10720,Darwin Núñez,Liverpool,2023,36.0,22.0,0.6111111111111112,12.0,7.0,0.5833333333333334,12.0,8.0,0.6666666666666666,-0.08333333333333326
10720,Darwin Núñez,Liverpool,2024,30.0,8.0,0.26666666666666666,12.0,2.0,0.16666666666666666,10.0,4.0,0.4,-0.23333333333333336
10721,Sepp van den Berg,Brentford,2024,31.0,29.0,0.9354838709677419,11.0,10.0,0.9090909090909091,9.0,8.0,0.8888888888888888,0.02020202020202022
10723,Stefan Bajcetic,Liverpool,2022,11.0,6.0,0.5454545454545454,4.0,3.0,0.75,3.0,1.0,0.3333333333333333,0.4166666666666667
10740,Jordan Zemura,Bournemouth,2022,19.0,17.0,0.8947368421052632,8.0,8.0,1.0,6.0,6.0,1.0,0.0
10741,Marcus Tavernier,Bournemouth,2022,23.0,19.0,0.8260869565217391,6.0,5.0,0.8333333333333334,9.0,8.0,0.8888888888888888,-0.05555555555555547
10741,Marcus Tavernier,Bournemouth,2023,30.0,25.0,0.8333333333333334,11.0,10.0,0.9090909090909091,12.0,9.0,0.75,0.15909090909090906
10741,Marcus Tavernier,Bournemouth,2024,29.0,20.0,0.6896551724137931,10.0,7.0,0.7,9.0,5.0,0.5555555555555556,0.14444444444444438
10742,Ben Pearson,Bournemouth,2022,7.0,3.0,0.42857142857142855,3.0,2.0,0.6666666666666666,3.0,1.0,0.3333333333333333,0.3333333333333333
10743,Kieffer Moore,Bournemouth,2022,27.0,12.0,0.4444444444444444,7.0,4.0,0.5714285714285714,11.0,5.0,0.45454545454545453,0.11688311688311687
10743,Kieffer Moore,Bournemouth,2023,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
10744,Ryan Christie,Bournemouth,2022,32.0,22.0,0.6875,11.0,6.0,0.5454545454545454,13.0,8.0,0.6153846153846154,-0.06993006993007
10744,Ryan Christie,Bournemouth,2023,37.0,35.0,0.9459459459459459,13.0,13.0,1.0,12.0,10.0,0.8333333333333334,0.16666666666666663
10744,Ryan Christie,Bournemouth,2024,29.0,27.0,0.9310344827586207,11.0,10.0,0.9090909090909091,10.0,10.0,1.0,-0.09090909090909094
10746,Jaidon Anthony,Bournemouth,2022,30.0,11.0,0.36666666666666664,12.0,5.0,0.4166666666666667,9.0,3.0,0.3333333333333333,0.08333333333333337
10747,James Hill,Bournemouth,2023,5.0,1.0,0.2,1.0,1.0,1.0,2.0,0.0,0.0,1.0
